PWS ID (Links to Records),Name,Reports/Notices,County,Status,Federal Type Full Name,State Source Type Full Name,Regulated As Water Hauler?,Population,Service Connections,Enforcement
CO0353051,ALAMOSA CG,Reports,CONEJOS,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0102100,ALAMOSA CITY OF,Reports,ALAMOSA,A,Community,Groundwater,No,11271,3463,No Recent Activity
CO0202105,ALAMOSA ECONOMY CAMPGROUND,Reports,ALAMOSA,A,Non-Public,Groundwater,No,7,14,No Recent Activity
CO0202450,ALAMOSA MIGRANT & SEASONAL HEAD START,Reports,ALAMOSA,A,"Transient, Non-Community",Groundwater,No,109,1,No Recent Activity
CO0157011,ALDASORO RANCH HOC,Reports,SAN MIGUEL,A,Community,Groundwater,No,412,103,No Recent Activity
CO0353113,ALDER CREEK GUARD STATION,Reports,RIO GRANDE,A,Non-Public,Groundwater,No,7,1,No Recent Activity
CO0207114,ALEXANDER DAWSON SCHOOL,Reports,BOULDER,I,Non-Public,Surface Water,No,0,1,No Recent Activity
CO0215115,ALEXANDER LAKE LODGE,Reports,DELTA,A,"Transient, Non-Community",Groundwater,No,58,8,No Recent Activity
CO0235112,ALL BUDGET INN,Reports,LARIMER,I,Non-Public,Groundwater,No,0,15,No Recent Activity
CO0207116,ALLANSPARK CRYSTAL SPRING WC,Reports,BOULDER,I,Non-Public,Purchased Surface Water,No,0,1,No Recent Activity
CO0253113,ALLENS RIVERSIDE MEADOWS CABINS,Reports,RIO GRANDE,A,Non-Public,null,No,20,1,No Recent Activity
CO0107115,ALLENSPARK WSD,Reports,BOULDER,A,Community,Surface Water,No,340,122,Closed Order Within Last 3 Years
CO0253114,ALLINGTON INN AND SUITES,Reports,RIO GRANDE,P,Non-Public,null,No,20,1,No Recent Activity
CO0216113,ALLY ONSITE,Reports,DENVER,I,Non-Public,Purchased Surface Water,"YES  ",0,1,No Recent Activity
CO0147001,ALMA TOWN OF,Reports,PARK,A,Community,Surface Water,No,460,219,No Recent Activity
CO0326114,ALMONT CG,Reports,GUNNISON,A,"Transient, Non-Community",Groundwater,No,25,1,No Recent Activity
CO0226113,ALMONT RESORT,Reports,GUNNISON,A,"Transient, Non-Community",Groundwater,No,116,29,No Recent Activity
CO0159119,ALPENSEE WD,Reports,SUMMIT,A,Community,Groundwater,No,168,34,No Recent Activity
CO0253103,ALPINE ACCENTS,Reports,MINERAL,A,"Transient, Non-Community",Groundwater,No,37,1,No Recent Activity
CO0207115,ALPINE BROOK WS,Reports,BOULDER,A,"Transient, Non-Community",Surface Water,No,100,42,No Recent Activity
CO0219485,ALPINE INN   LAS ANIMAS,Reports,EAGLE,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0104090,ALPINE LAKES RANCH WC,Reports,ARCHULETA,A,Community,Groundwater,No,158,147,No Recent Activity
CO0260280,ALPINE LAKES RESORT,Reports,TELLER,I,Non-Public,Groundwater,No,0,95,No Recent Activity
CO0235116,ALPINE LODGE AND TRAILER PARK,Reports,LARIMER,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0214100,ALPINE LODGE DINNER REST AND CBN,Reports,CUSTER,A,"Transient, Non-Community",Groundwater,No,82,6,No Recent Activity
CO0224114,ALPINE MOTEL,Reports,GILPIN,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0154117,ALPINE MOUNTAIN RANCH MD,Reports,ROUTT,A,Community,Groundwater UDI Surface Water,No,25,14,No Recent Activity
CO0254113,ALPINE RIVER CLUB,Reports,ROUTT,A,Non-Public,Groundwater,No,8,null,No Recent Activity
CO0235118,ALPINE TRAIL RIDGE INN,Reports,LARIMER,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0253320,ALPINE TRAILS RV PARK,Reports,RIO GRANDE,A,"Transient, Non-Community",Groundwater,No,84,42,No Recent Activity
CO0160050,ALPINE VILLAGE MHP,Reports,TELLER,A,Community,Groundwater,No,80,35,No Recent Activity
CO0122415,ALPINE VILLAGE MOBILE HOME PARK,Reports,FREMONT,P,Non-Public,null,No,169,66,No Recent Activity
CO0135113,ALPINE VISTA VILLAGE,Reports,LARIMER,A,Community,Purchased Surface Water,No,313,123,No Recent Activity
CO0257326,ALPINO WINE BAR,Reports,SAN MIGUEL,I,"Transient, Non-Community",Purchased Groundwater,"YES  ",140,1,No Recent Activity
CO0247103,ALS PITS BBQ,Reports,PARK,A,Non-Public,Groundwater,No,12,1,No Recent Activity
CO0218839,ALTA CONVENIENCE NO 6104,Reports,DOUGLAS,A,"Transient, Non-Community",Groundwater,No,906,1,No Recent Activity
CO0230038,ALTA CONVENIENCE NO 6152,Reports,JEFFERSON,A,"Transient, Non-Community",Groundwater,No,1000,1,No Recent Activity
CO0162113,ALTA VISTA,Reports,WELD,P,Community,null,No,47,18,No Recent Activity
CO0125113,ALTA VISTA PARK,Reports,GRAND,P,Non-Public,null,No,13,14,Open Order
CO0237001,ALTAS PLACE,Reports,LINCOLN,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0221114,ALTMAN PLANTS,Reports,EL PASO,A,"Non-Transient, Non-Community",Groundwater,No,188,1,No Recent Activity
CO0103125,ALTURA MOBILE HOME PARK,Reports,ARAPAHOE,P,Community,null,No,26,12,Open Order
CO0314042,ALVARADO CG  4122,Reports,CUSTER,A,"Transient, Non-Community",Groundwater,No,300,9,Closed Order Within Last 3 Years
CO0224115,ALWAYS UNLIMTD TROUT  BLUE SPR,Reports,GILPIN,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0235119,AMBERWOOD ESTATE LLP,Reports,LARIMER,A,Non-Public,Groundwater,No,24,13,No Recent Activity
CO0252117,AMERI TECH EXXON GLOBAL GEOPHYSICAL,Reports,RIO BLANCO,I,Non-Public,Purchased Surface Water,No,0,15,No Recent Activity
CO0208116,AMERICAN ADVENTURE EXPEDITIONS,Reports,CHAFFEE,A,"Transient, Non-Community",Groundwater,No,80,1,No Recent Activity
CO0208760,AMERICAN CLASSIC INN,Reports,CHAFFEE,A,"Transient, Non-Community",Groundwater,No,42,4,No Recent Activity
CO0201004,AMERICAN PRIDE FERT  FMLYCEPEX,Reports,ADAMS,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0247126,AMERICAN SAFARI RANCH,Reports,PARK,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0247700,AMERICAN SAFARI RANCH,Reports,PARK,A,"Transient, Non-Community",Groundwater,No,35,5,No Recent Activity
CO0223116,AMIS ACRES,Reports,GARFIELD,A,"Transient, Non-Community",Groundwater,No,125,52,No Recent Activity
CO0246100,AMPHITHEATER CG,Reports,OURAY,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0346116,AMPHITHEATER CG,Reports,OURAY,A,"Transient, Non-Community",Groundwater,No,92,14,No Recent Activity
CO0219117,ANDERSON CAMPS LTD,Reports,EAGLE,A,"Transient, Non-Community",Groundwater,No,176,20,No Recent Activity
CO0235120,ANDERSONS WONDERVIEW LTD,Reports,LARIMER,I,Non-Public,Groundwater,No,0,16,No Recent Activity
CO0238001,ANDYS INTERSTATE CAFE,Reports,LOGAN,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0308020,ANGEL OF SHAVANO CG NO 1,Reports,CHAFFEE,A,"Transient, Non-Community",Groundwater,No,220,1,No Recent Activity
CO0308025,ANGEL OF SHAVANO GROUP AREA,Reports,CHAFFEE,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0108117,ANGEL VISTA MOBILE HOME PARK,Reports,CHAFFEE,A,Non-Public,null,No,14,7,No Recent Activity
CO0123117,ANGIES ACRES,Reports,GARFIELD,A,Non-Public,null,No,1,1,No Recent Activity
CO0134117,ANIMAS VIEW MHP CO-OP,Reports,LA PLATA,P,Non-Public,null,No,292,122,No Recent Activity
CO0134020,ANIMAS WC,Reports,LA PLATA,A,Community,Groundwater,No,2720,1319,No Recent Activity
CO0235185,ANNUNCIATION HEIGHTS,Reports,LARIMER,A,Community,Groundwater,No,260,20,Open Target
CO0335148,ANSEL WATROUS CG LOWER,Reports,LARIMER,A,"Transient, Non-Community",Groundwater,No,56,1,No Recent Activity
CO0335146,ANSEL WATROUS CG UPPER,Reports,LARIMER,A,"Transient, Non-Community",Groundwater,No,72,1,No Recent Activity
CO0145117,ANTELOPE ESTATES,Reports,OTERO,P,Community,null,No,50,28,No Recent Activity
CO0126117,ANTELOPE HILLS ASSOC,Reports,GUNNISON,A,Community,Purchased Surface Water,No,265,107,No Recent Activity
CO0121117,ANTELOPE RIDGE,Reports,EL PASO,I,Community,null,No,866,338,No Recent Activity
CO0208117,ANTERO HOTSPRINGS AND CABINS,Reports,CHAFFEE,A,Non-Public,Groundwater,No,10,1,No Recent Activity
CO0240050,ANTLERS RIO GRANDE LODGE,Reports,MINERAL,A,"Transient, Non-Community",Groundwater,No,193,55,No Recent Activity
CO0261010,ANTON STEAKHOUSE CAF,Reports,WASHINGTON,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0111100,ANTONITO TOWN OF,Reports,CONEJOS,A,Community,Groundwater UDI Surface Water,No,981,435,No Recent Activity
CO0134119,APACHE MHP,Reports,LA PLATA,A,Community,Purchased Surface Water,No,120,48,No Recent Activity
CO0262115,APC LANCASTER,Reports,WELD,A,Non-Public,Groundwater,No,22,6,No Recent Activity
CO0262255,APC PLATTE VALLEY PLANT,Reports,WELD,A,Non-Public,Groundwater,No,22,6,No Recent Activity
CO0107119,APOLLO ESTATES WUA,Reports,BOULDER,I,Non-Public,Groundwater,No,0,8,No Recent Activity
CO0135119,APPLE & CHERRY RIDGE VILLAGE,Reports,LARIMER,A,Community,Purchased Surface Water,No,350,203,No Recent Activity
CO0143119,APPLE GROVE MOBILE HOME & RV PARK,Reports,MONTROSE,P,Community,null,No,34,21,No Recent Activity
CO0108118,APPLE GROVE MOBILE HOME PARK,Reports,CHAFFEE,P,Non-Public,null,No,21,9,No Recent Activity
CO0123734,APPLE TREE PARK,Reports,GARFIELD,A,Community,Groundwater,No,1160,375,No Recent Activity
CO0208118,APPLEJACK RV PARK,Reports,CHAFFEE,A,"Transient, Non-Community",Groundwater,No,35,32,No Recent Activity
CO0138119,APPLEWOOD MHC,Reports,LOGAN,P,Community,null,No,266,156,No Recent Activity
CO0139119,APPLEWOOD MOBILE ESTATES,Reports,MESA,P,Non-Public,null,No,354,137,No Recent Activity
CO0203015,APPOGEE KAZMIRA LLC,Reports,ARAPAHOE,A,"Non-Transient, Non-Community",Groundwater,No,200,10,No Recent Activity
CO0234121,AQUA DROP POTABLE WATER DELIVERY INC,Reports,LA PLATA,I,Non-Public,Purchased Surface Water,"YES  ",0,200,No Recent Activity
CO0253117,AQUA RAMON CLUB,Reports,RIO GRANDE,A,Non-Public,Groundwater,No,4,69,No Recent Activity
CO0107114,AQUARIAN WATER  THE,Reports,BOULDER,I,Non-Public,Purchased Surface Water,No,0,55,No Recent Activity
CO0160075,ARABIAN ACRES MD,Reports,TELLER,A,Community,Groundwater,No,325,151,No Recent Activity
CO0325143,ARAPAHO BAY CG,Reports,GRAND,A,"Transient, Non-Community",Groundwater,No,720,18,No Recent Activity
CO0225122,ARAPAHO VALLEY RANCH,Reports,GRAND,A,"Transient, Non-Community",Groundwater,No,185,26,No Recent Activity
CO0259002,ARAPAHOE BASIN SKI AREA,Reports,SUMMIT,A,"Transient, Non-Community",Surface Water,No,1149,8,No Recent Activity
CO0259100,ARAPAHOE BASIN SKI AREA MIDWAY LODGE,Reports,SUMMIT,A,"Transient, Non-Community",Groundwater,No,890,1,No Recent Activity
CO0203001,ARAPAHOE CNTY AIRPORT,Reports,ARAPAHOE,I,Non-Public,Groundwater,No,0,9,No Recent Activity
CO0203002,ARAPAHOE CNTY WWWA,Reports,ARAPAHOE,A,Community,Groundwater,No,31000,3951,No Recent Activity
CO0103001,ARAPAHOE ESTATES WD,Reports,ARAPAHOE,I,Non-Public,Purchased Surface Water,No,0,292,No Recent Activity
CO0110001,ARAPAHOE MHP,Reports,CLEAR CREEK,A,Community,Groundwater,No,27,14,No Recent Activity
CO0225121,ARAPAHOE MTN RANCH  DUPLICATE,Reports,GRAND,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0203023,ARAPAHOE PARK HORSETRACK,Reports,ARAPAHOE,A,"Transient, Non-Community",Groundwater,No,482,35,No Recent Activity
CO0109001,ARAPAHOE WC,Reports,CHEYENNE,A,Community,Groundwater,No,99,56,No Recent Activity
CO0253121,ARBOR HOUSE INN,Reports,RIO GRANDE,A,Non-Public,null,No,20,1,No Recent Activity
CO0107118,ARBORDALE ACRES MHP,Reports,BOULDER,A,Community,Purchased Surface Water,No,901,286,No Recent Activity
CO0104100,ARCHULETA WC   DISSOLVED,Reports,ARCHULETA,I,Non-Public,Purchased Surface Water,No,0,420,No Recent Activity
CO0228100,ARCO OIL AND GAS,Reports,HUERFANO,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0255120,AREA 420,Reports,SAGUACHE,A,"Non-Transient, Non-Community",Purchased Groundwater,No,182,48,Closed Order Within Last 3 Years
CO0261002,ARICKAREE SCHOOL,Reports,WASHINGTON,A,"Non-Transient, Non-Community",Groundwater,No,165,6,No Recent Activity
CO0162121,ARISTOCRAT RANCHETTE WATER PROJECT,Reports,WELD,A,Community,Purchased Surface Water,No,1260,420,No Recent Activity
CO0257120,ARJ MOUNTAIN RANCH LLC,Reports,SAN MIGUEL,A,Non-Public,Groundwater,No,12,3,No Recent Activity
CO0222500,ARKANSAS RIVER KOA,Reports,FREMONT,I,"Transient, Non-Community",Groundwater,No,36,96,No Recent Activity
CO0208820,ARKANSAS RIVER RIM CG AND RV PARK,Reports,CHAFFEE,A,"Transient, Non-Community",Groundwater,No,76,3,No Recent Activity
CO0222725,ARKANSAS RIVER TOURS,Reports,FREMONT,A,"Transient, Non-Community",Groundwater,No,50,1,No Recent Activity
CO0208121,ARKANSAS VALLEY ADVENTURES,Reports,CHAFFEE,A,Non-Public,Groundwater,No,20,null,No Recent Activity
CO0151120,ARKANSAS VALLEY CONDUIT,Reports,PUEBLO,P,Non-Public,null,No,0,null,No Recent Activity
CO0135121,ARKINS WA,Reports,LARIMER,I,Non-Public,Surface Water,No,0,387,No Recent Activity
CO0253015,ARNOLDS FAMILY DINING,Reports,RIO GRANDE,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0137001,ARRIBA TOWN OF,Reports,LINCOLN,A,Community,Groundwater,No,216,159,No Recent Activity
CO0247001,ARROWHEAD ARENA REST,Reports,PARK,I,Non-Public,Groundwater,No,0,1,No Recent Activity
